,quote_tweet_id,quote_tweet_text,name,time,location,followers,following,hashtags
64,1612130794171940869,Morrissey DGAF https://t.co/9OUtmiujZ3,Ultra Craigé Schmuckatelli 🇺🇸,2023-01-08 17:49:45,Morton's Fork,6427,5646,[]
65,1612130598113644547,“Cross culture music platforms allowed for shared learning experiences on the dance floor.” @djsudi  🖤🤎🖤 https://t.co/YcLsFmEDs5,BlindianProject,2023-01-08 17:00:33,London,744,1341,[]
66,1612130545605160960,#REALTALK https://t.co/4k6r90ZROv,Macksimus,2023-01-08 20:27:13,,1237,587,['REALTALK']
67,1612130475354497027,reminds me i should read Azuma's Otaku book https://t.co/UV7Y1yQogf,T. Shklovsky (finding a form),2023-01-08 17:09:20,,49,132,[]
68,1612129438992371712,.@BillKristol .@pbump .@nytdavidbrooks .@WTOP .@fox5dc .@ABC7News .@wusa9 .@wamu885news .@MeetThePress .@NewsHour .… https://t.co/8krmS5hWtW,Pierre LaFontaine,2023-01-08 23:01:13,,1383,1363,[]
69,1612129438992371712,🤢🤮☠️💩🤬😡#DemsDeliverJobsNotChaos #DemsInArray #RepublicansInRuin #RepublicanClownShow #RepublicansInDisarray… https://t.co/SsfljPIvmA,Shari Adkisson 🌎 🌊💜☮♓🙏,2023-01-08 21:39:34,Southern New Mexico,61,165,"['DemsDeliverJobsNotChaos', 'DemsInArray', 'RepublicansInRuin', 'RepublicanClownShow', 'RepublicansInDisarray']"
70,1612129438992371712,NO thanks!🚫🚫🚫🚫 https://t.co/OxNmwPG42d,Candace Carpenter,2023-01-08 18:45:37,🏜️Valley of the Sun🌞 😎🏜️🌵,1192,3872,[]
71,1612129252240924678,The South Korean draq queen raising LGBT awareness https://t.co/l99uLEa2vH https://t.co/XTnOgsNzP2,trends online,2023-01-08 19:17:17,,10,136,[]
72,1612129135291240450,Join us on January 27th for this virtual event on inequality and cultural authenticity! https://t.co/nQ9WlpdJ7H,Miray Philips - ميراي فيلبس,2023-01-08 17:34:30,DC | MN | 🇪🇬 | 🇰🇼,1914,3599,[]
73,1612129123777781764,RT @Sailmysoul2sea: Stay yo ass inside then green ass nigga,Nicki,2023-01-08 19:23:13,,334,501,[]
74,1612129123777781764,RT @Sailmysoul2sea: Stay yo ass inside then green ass nigga,SCAR,2023-01-08 18:52:52,"Duval, FL",1856,588,[]
75,1612129123777781764,RT @Sailmysoul2sea: Stay yo ass inside then green ass nigga https://t.co/CT9ZyFQBhT,that guy,2023-01-08 18:03:39,Under Your Bed,205,281,[]
76,1612129123777781764,RT @Sailmysoul2sea: Stay yo ass inside then green ass nigga,Rashaad....,2023-01-08 17:52:43,,2284,1516,[]
77,1612129123777781764,RT @Sailmysoul2sea: Stay yo ass inside then green ass nigga,Coach Trey,2023-01-08 17:04:11,,338,216,[]
78,1612129123777781764,Stay yo ass inside then green ass nigga https://t.co/CT9ZyFQBhT,☔️☔️☔️☔️☔️☔️☔️☔️,2023-01-08 16:50:27,,1073,471,[]
79,1612128827685076992,Aswear. Suddenly the man with 4 ppl tweeting from a room don dey give them sleepless nights https://t.co/Jef0UPIrU8,Delta Perfume Oil Plug (Elowen Scents),2023-01-08 19:21:42,"Delta, Nigeria",96,94,[]
80,1612128690686791680,Arey Brother. I was calling racist to the person who was telling you to go live in africa and live with Monkeys not… https://t.co/APfMJ2L3OF,arhant,2023-01-08 16:51:48,,10,26,[]
81,1612128111956754432,RT @yat023: The left doesn’t believe in culture and family because these are institutions that serve as a bulwark against the government an…,Larry,2023-01-08 19:17:08,"London, England",45,256,[]
82,1612128111956754432,RT @yat023: The left doesn’t believe in culture and family because these are institutions that serve as a bulwark against the government an…,Frankie Darklight🇬🇧 🇮🇱🇺🇸,2023-01-08 18:19:44,"Bristol, England",8789,8653,[]
83,1612128111956754432,The left doesn’t believe in culture and family because these are institutions that serve as a bulwark against the g… https://t.co/DzHThU8Qfj,YachtMoney,2023-01-08 18:17:34,"CT, USA",7936,8170,[]
84,1612127865645957120,Two imbeciles https://t.co/wIwFIrFU9y,Drassco,2023-01-08 21:09:00,"Užice, Serbia",57,129,[]
85,1612127488708337665,french toast winning y’all have some exquisite palates https://t.co/adcEp7bF16,tay,2023-01-08 21:09:02,dmv baby ,231,283,[]
86,1612127488708337665,everyone please vote. very important poll https://t.co/adcEp7bF16,tay,2023-01-08 18:56:12,dmv baby ,231,283,[]
87,1612127317425549312,Couldn’t of said it better myself #TitanUp ⚔️ https://t.co/En5LEbP685 https://t.co/CmHir0g310,Kegan ⚔️🐗,2023-01-08 16:56:26,Nissan Stadium,331,608,['TitanUp']
88,1612127268473606146,This is twice that I've heard of and had to remember Mystery Men in the same week. So weird that as a kid I loved t… https://t.co/xfwOrFDqrg,Ark Nodem | Streaming Sun-Thu Usually,2023-01-08 19:49:28,"Texas, USA",76,861,[]
89,1612127268473606146,Wild. Love that movie. https://t.co/dQU4yPuLgT,💢⭕💢🇻🇮,2023-01-08 17:06:12,"Chicago, IL",278,649,[]
90,1612127268473606146,This just reminds me how sad I am that Mystery Men is not better known. That's a movie that deserved to be a consta… https://t.co/8DzA7l68a6,Rantel Brown,2023-01-08 16:55:14,"St. Catharines, Ontario",55,104,[]
91,1612126388244578304,"RT @fakehistoryhunt: That's a lovely bee.
And I'd totally wear that today.",jo turner,2023-01-09 02:36:48,,5224,5745,[]
92,1612126388244578304,Fab bee brooch .. https://t.co/oPgucRXHGu,"Wendy ""#ChurchOfAllCats"" Fleet 😹💙🌊",2023-01-09 02:19:21,CA,32797,36048,[]
93,1612126388244578304,Looks more like a cicada than a bee🐝 https://t.co/8ZFwtbHzMm,g o p e n,2023-01-09 00:58:14,See you down the road.,1027,884,[]
94,1612126388244578304,"RT @ae_stallings: I would like this, please:",🌻LillyinWick,2023-01-09 00:39:17,Scotland,1998,4974,[]
95,1612126388244578304,"This would make a really fine gift for me, just saying https://t.co/ATeGkXMx50",Gayton Gomez /Gaytongomez@mastodon.social,2023-01-08 23:53:12,,5701,2373,[]
96,1612126388244578304,"RT @ae_stallings: I would like this, please:",Ticia Verveer,2023-01-08 23:50:55,,132809,76643,[]
97,1612126388244578304,Is this the original beebro? 🤔 https://t.co/bae6lceqS3,❤️SamnDean💙,2023-01-08 22:40:01,My Chill of bronlies,2863,484,[]
98,1612126388244578304,"RT @fakehistoryhunt: That's a lovely bee.
And I'd totally wear that today.",nick ن 🌐,2023-01-08 22:29:43,Sinus Medii,349,2410,[]
99,1612126388244578304,RT @celluloidspectr: delightful,Eric Maes,2023-01-08 22:27:19,Région Centre  Eure&Loir,813,748,[]
100,1612126388244578304,RT @celluloidspectr: delightful,Ticia Verveer,2023-01-08 22:26:33,,132809,76643,[]
101,1612126388244578304,RT @MatthewJDalby: What a great Roman bee.,Ticia Verveer,2023-01-08 22:26:15,,132809,76643,[]
102,1612126388244578304,"RT @fakehistoryhunt: That's a lovely bee.
And I'd totally wear that today.",Ticia Verveer,2023-01-08 22:25:59,,132809,76643,[]
103,1612126388244578304,@MuseoCadiz https://t.co/YEz8HpYRpt,Sakitilla,2023-01-08 22:24:55,En la Luna,85,276,[]
104,1612126388244578304,delightful https://t.co/XPufFN5XUy,Addy's Eyes ~ Making Tweeting Pleasurable,2023-01-08 22:17:14,United kingdom,697,760,[]
105,1612126388244578304,Travail et minutie https://t.co/SFyUiiWO7g,𓂍 𝕃𝕠𝕦𝕧𝕖 𓂍,2023-01-08 21:20:15,,249,397,[]
106,1612126388244578304,Beyoncé's impact https://t.co/2W9n5xj79P,Broken Glass! in the Disco,2023-01-08 20:49:06,,616,714,[]
107,1612126388244578304,If anyone needs to get @vickihird a gift I think I've found just the thing... https://t.co/YbMUCEX4n1,Kate de Selincourt,2023-01-08 20:48:58,Forest of Dean,4369,717,[]
108,1612126388244578304,@sophiescott https://t.co/ByBMaGcy1g,HuxleyHigginsWhippet,2023-01-08 20:27:50,"Bristol, England",472,54,[]
109,1612126388244578304,"RT @fakehistoryhunt: That's a lovely bee.
And I'd totally wear that today.",Merry Evergreenson 🐀,2023-01-08 20:26:41,"Indianapolis, IN",1946,3137,[]
110,1612126388244578304,@JennaEricson https://t.co/T2vy6G2gIX,Karissa,2023-01-08 20:19:18,"Maine, USA",40,86,[]
111,1612126388244578304,What a great Roman bee. https://t.co/uvp83D76so,Matthew Dalby,2023-01-08 19:25:13,,7184,4108,[]
112,1612126388244578304,"RT @ae_stallings: I would like this, please:",those blossom 🐀,2023-01-08 19:22:25,Khoi and San Land,2398,4751,[]
113,1612126388244578304,"I would like this, please: https://t.co/GOZBp6ys9K",Alicia E. Stallings,2023-01-08 19:10:36,,8288,2256,[]
114,1612126388244578304,"RT @fakehistoryhunt: That's a lovely bee.
And I'd totally wear that today.",(((b McPherson))) a 🚲'ng dad,2023-01-08 18:31:13,Ottawa,961,662,[]
115,1612126388244578304,"RT @fakehistoryhunt: That's a lovely bee.
And I'd totally wear that today.",Lammie Post-Oostenbrink ❤️📚,2023-01-08 17:42:43,Boektopia,1201,2035,[]
116,1612126388244578304,"RT @fakehistoryhunt: That's a lovely bee.
And I'd totally wear that today.",🚀Jean🛸 @DisconsolateChimera@mastodon.sdf.org,2023-01-08 17:38:27,Alabamistan,477,539,[]
117,1612126388244578304,"RT @fakehistoryhunt: That's a lovely bee.
And I'd totally wear that today.",Salma Typhii,2023-01-08 17:27:50,,1969,4756,[]
118,1612126388244578304,"RT @fakehistoryhunt: That's a lovely bee.
And I'd totally wear that today.",Sailing the Digital Ocean,2023-01-08 17:27:04,,162,832,[]
119,1612126388244578304,"That's a lovely bee.
And I'd totally wear that today. https://t.co/8erWnJmD1q",Fake History Hunter,2023-01-08 17:26:18,The past.,211509,4597,[]
120,1612126107909738506,Maybe i should bring santa's sack from Merry Meltdown and me + others can money match picking a random card from it… https://t.co/ht8klRjuSr,TOOMUCHDOG,2023-01-08 17:08:30,Cis white male (sorry),2174,2247,[]
121,1612125998086250497,#damagecontrol https://t.co/FKF9S7k4Cd,I wantz Onwy Muwdews in da Buiwding 3 😳,2023-01-08 16:50:52,Da Awconia ZOMG,664,1558,['damagecontrol']
122,1612125758817714184,"this guy thinks it’s funny to appropriate sobriety culture.. twitter, do your thing https://t.co/8KIihmGp3l",jemp.stp,2023-01-08 17:11:04,"Detroit, MI",1446,598,[]
123,1612124900143104002,so an 8 year old girl wearing a knee length skirt is sexualizing herself 🤨is ur brain decorative https://t.co/miCIs0qFdR,#1 leo messi fan 🇦🇷,2023-01-09 03:20:01,"montreal, chicago",638,354,[]
124,1612124900143104002,you already answered your own question babe😕 https://t.co/WkEv0BVAVj https://t.co/IqXUGMld36,hannah🇲🇦,2023-01-09 03:11:51,black/arab 19,389,360,[]
125,1612124900143104002,"RT @jaadogarni: Why do Muslim women deny that when the islamic dress code, they are deliberately sexualizing themsleves?
Always deflecting…",🐾,2023-01-09 02:21:57,lost in the fragrance of books,506,495,[]
126,1612124900143104002,RT @AGwraig: Things rapists say,TallYouBack,2023-01-09 01:25:51,,221,306,[]
127,1612124900143104002,Things rapists say https://t.co/mh4MenN6Kg,Gwraig Anffyddiwr,2023-01-09 01:16:31,,2489,2637,[]
128,1612124900143104002,"im tired of the narrative that being modest strips you from any sexual harassment. Yes, modesty tremendously helps… https://t.co/64cIZPJnQa",yuna,2023-01-09 00:47:54,🫐,175,700,[]
129,1612124900143104002,"RT @ExMuslimsMN: Why does the Quran say that Muslim women should wear the hijab to avoid sexual molestation?

Source: Quran 33:59",Akhi Norman,2023-01-08 23:46:44,Malaysia,1059,1445,[]
130,1612124900143104002,"Objectification and sexualization are in the minds of the person looking. Be a man, instead of an adolescent boy, a… https://t.co/kFVntk2R2B",joe lewis,2023-01-08 23:43:54,,263,486,[]
131,1612124900143104002,"RT @jaadogarni: Why do Muslim women deny that when the islamic dress code, they are deliberately sexualizing themsleves?
Always deflecting…",Khadija Baloch,2023-01-08 22:00:57,,2129,228,[]
132,1612124900143104002,RT @neuesleben__: As if hijabi women aren't sexually harassed on a daily in Muslim countries... victim blaming is something we stopped doin…,lee,2023-01-08 21:53:35,haleemah,440,593,[]
133,1612124900143104002,RT @Aisiri__: This your tweet is very senseless cos just the other day they were objectifying and sexualizing a woman who was wearing exact…,KishMish 🧃,2023-01-08 21:41:41,United Kingdom,530,499,[]
134,1612124900143104002,I think there’re women who dress immodestly because they’re brainwashed into thinking a woman’s worth is tied to be… https://t.co/GmyKbn7JWO,Siham,2023-01-08 21:11:28,Mars,270,205,[]
135,1612124900143104002,"Why does the Quran say that Muslim women should wear the hijab to avoid sexual molestation?

Source: Quran 33:59 https://t.co/TZSknqoogD",Ex-Muslims of Minnesota,2023-01-08 21:08:29,,959,1426,[]
136,1612124900143104002,As if hijabi women aren't sexually harassed on a daily in Muslim countries... victim blaming is something we stoppe… https://t.co/y7uEiPBeSA,Adam 🕊,2023-01-08 20:09:32,zan zendegi azadi,144,200,[]
137,1612124900143104002,https://t.co/a72arnREL5 https://t.co/ilJnTqyZVU,stayc girl,2023-01-08 20:07:29,,311,257,[]
138,1612124900143104002,This your tweet is very senseless cos just the other day they were objectifying and sexualizing a woman who was wea… https://t.co/S2lfDOkv6u,Akosua,2023-01-08 20:03:15,,260,244,[]
139,1612124900143104002,"My sister in Allah, just dress like a ninja and keep it moving https://t.co/YCCaGWr2ZV",the hierophant 🤴🏾,2023-01-08 20:00:59,United States,1226,1204,[]
140,1612124900143104002,It's always these ones lol https://t.co/m3j9V18bdm,Shiro Kabocha,2023-01-08 20:00:11,Not Ghana,4431,1443,[]
141,1612124900143104002,Noob saibot stfu https://t.co/cO8zWD1qci,𓋹 𝑶𝒑𝒆𝒍𝒆 𝑹𝒊𝒄𝒉𝒂𝒓𝒅𝒔𝒐𝒏 ♤,2023-01-08 19:57:44,Hell ,7072,2555,[]
142,1612124900143104002,"RT @jaadogarni: Why do Muslim women deny that when the islamic dress code, they are deliberately sexualizing themsleves?
Always deflecting…",Ayesha Khan,2023-01-08 19:44:19,"Toronto, Ontario",5520,1000,[]
143,1612124900143104002,"RT @jaadogarni: Why do Muslim women deny that when the islamic dress code, they are deliberately sexualizing themsleves?
Always deflecting…",Kanishk,2023-01-08 19:37:03,,199,605,[]
144,1612124900143104002,RT @tartasticles: yall are the ones who sexualised anything thats not a fking niqab and you’re denying being part of rape culture????,Eudora Lia 🍎,2023-01-08 19:37:01,"21, she/they",309,600,[]
145,1612124900143104002,yall are the ones who sexualised anything thats not a fking niqab and you’re denying being part of rape culture???? https://t.co/Tv23VMIO3J,seraphim,2023-01-08 18:57:33,they/she ,101,133,[]
146,1612124900143104002,"You can be sexualised regardless of what you’re wearing. Clothes isn’t an excuse for objectification or assault 

T… https://t.co/LsEa9OZK8z",Nads,2023-01-08 18:42:49,london ,47,47,[]
147,1612124900143104002,One thing about most religious people is that they struggle with staying outta other people's business https://t.co/shnct4L7bA,𓆝 Nita 𓆞,2023-01-08 18:38:38,"She/her, 19 :･ﾟ★",372,327,[]
148,1612124900143104002,wish she was from that one country but it isn't... https://t.co/2uPVpHAaji,el chica,2023-01-08 18:35:22,she/her,439,402,[]
149,1612124900143104002,"RT @jaadogarni: Why do Muslim women deny that when the islamic dress code, they are deliberately sexualizing themsleves?
Always deflecting…",Hal 🇦🇷🇦🇷🇦🇷,2023-01-08 18:35:01,,1433,334,[]
150,1612124900143104002,🤡 https://t.co/oC7Se4vW9H,মধুব্রতা,2023-01-08 18:33:29,bengal (west) ,366,528,[]
151,1612124900143104002,there’s no way you typed this out .. reread what you said and was like “yeah ima post this”.. u can go out only wea… https://t.co/6iEk2fWFqq,ᴀʏʟɪɴ ☆,2023-01-08 18:30:50,🇦🇫,188,203,[]
152,1612124900143104002,Revert in bio https://t.co/WrRxwm3lt6,Eudora Lia 🍎,2023-01-08 18:28:13,"21, she/they",309,600,[]
153,1612124900143104002,"RT @jaadogarni: Why do Muslim women deny that when the islamic dress code, they are deliberately sexualizing themsleves?
Always deflecting…",Eudora Lia 🍎,2023-01-08 18:27:39,"21, she/they",309,600,[]
154,1612124900143104002,i hope canada bans the niqab 🙏🏻 https://t.co/Sr7sCBgnqe,zee 🥀,2023-01-08 18:26:13,she/her ٠ 20s ٠ cat mom,211,202,[]
155,1612124900143104002,rocks for brains https://t.co/QLhz1gAmX0,kris ♡,2023-01-08 18:17:36,23. white. infj. lgbt(+),226,220,[]
156,1612124900143104002,"Why do Muslim women deny that when the islamic dress code, they are deliberately sexualizing themsleves?
Always def… https://t.co/79OeCs92ZS",Behayya pukhtana 🏳️‍🌈⚛️🇺🇲,2023-01-08 17:50:27,United States,3029,838,[]
157,1612124724879917062,Some of my favorite lifetime experiences are sharing food with the locals of different countries. It really is the… https://t.co/wMnMby0Zyu,🌲West Coast Darcy🌲,2023-01-08 22:24:26,"Sunshine Coast, BC",1088,252,[]
158,1612124615391825920,"RT @JediRickGrimes: Keks Win... 

You have been warned.  Dr will see you soon.",dr$uss.btc/eth,2023-01-08 17:56:44,gm Regional Hospital ,2181,571,[]
159,1612124615391825920,"Keks Win... 

You have been warned.  Dr will see you soon. https://t.co/lxn86s8OaX","𝕵𝖊𝖉𝖎 𝕽𝖎𝖈𝖐 (rekt,rekt)",2023-01-08 17:55:08,Tatooine,1440,568,[]
160,1612124570873663489,There’s nothing I could say about these people that’s worse than this tweet. https://t.co/01irV3XoVS,High Commissioner for Human Rights Trekal Darhe’el,2023-01-08 20:53:19,,852,3349,[]
161,1612124570873663489,"This is such an important point. 

So many people don't have an existing framework to understand what's happening h… https://t.co/IVXzxvhx8D",John Priest BMI 22 (fat),2023-01-08 17:11:08,Republic of Deseret,150,180,[]
162,1612124552934440963,Oh https://t.co/YxsOCAGlgF,GreenThumb Up,2023-01-08 16:33:47,Albuquerque ,1631,2016,[]
163,1612123213936611329,Monolingual Americans need to sit their whole asses down. https://t.co/pJa2zVs0nH,Bear Soup,2023-01-09 00:30:20,,21,202,[]
164,1612122992078917633,RT @YesikaStarr: I disagree. I’ve lived in Los Angeles my entire life and the “surface” folks are far less frequent than the THOUSANDS of f…,Panakin Skywalker 🐈‍⬛,2023-01-09 00:16:21,LA/Tongva Land,245,1261,[]
165,1612122992078917633,RT @YesikaStarr: I disagree. I’ve lived in Los Angeles my entire life and the “surface” folks are far less frequent than the THOUSANDS of f…,“is it time to release the bankai jutsu?”,2023-01-08 22:32:33,Treaty of Saginaw Lands ,12849,3726,[]
166,1612122992078917633,I disagree. I’ve lived in Los Angeles my entire life and the “surface” folks are far less frequent than the THOUSAN… https://t.co/4AQnaj4fiv,Yesika Salgado 🥭✨,2023-01-08 22:29:31,Los Angeles,31014,637,[]
